Category,Text,O1Text,O1Plebs,O1Clergy,O1Generals,O1Banks,O1Gold,O1Special,O2Text,O2Plebs,O2Clergy,O2Generals,O2Banks,O2Gold,O2Special
Type: Event,Bishop: Local miners have unearthed the Holy Hand Grenade...,"Count to three, no more, no less... then lobbeth the Holy Hand Grenade!",3,-2,,,,,A gift to the Church!,,3,-2,,,
Type: Event,Treasurer: The Banks want the King to finance his huge birthday party!,"You deserve a grand celebration, my King!",2,,,2,,,"Oh, how wasteful, my King.",,,,-3,,
Type: Event,King's Mistress: I have made friends with the Generals' wives and told them of your greatness.,Oh goodie!,,,2,,,,,,,,,,
Type: Persistent,King's Mistress: The commoners have spotted us together and our relationship has captured the heart of the people.,Place this card on the table in in front of you.,1,,,,,"For 6 turns, you gain the effect of this card BEFORE your Event Phase.",,,,,,,
Type: Event,King's Mistress: I shall inform His Majesty of your noble deeds.,No!!!!,,,,,-5,,I have nothing to hide!,,,,,,You are immediately accused by the King.
Type: Event,"King's Mistress: I think everyone should know of our affair, don't you?",No!,,,,,-2,,Who cares!,5,-3,,,,
Type: Event,"King: You are in charge of the New Year festivities, got it?",Lets do it up!,3,,,-2,,,Skimp,1,1,,1,,
Type: Event,"General Lee: King, we must war with the southern kingdom before they grow too strong for us to withstand!",To arms!,-1,,2,,,,How about ... no.,,,-1,2,,
Type: Event,Treasurer: You can't blackmail the royal Treasurer!,"Pay up, sir!",,,,,2,,,,,,,,
Type: Event,Blackmail: I know what you did!,,,,,,,Acquire +1 Gold from another courtier,,,,,,,
Type: Event,The Arch Bishop seeks your council on a Witch Trial.,Burn Her!,-2,3,,,,,Does she weigh the same as a duck?,3,-2,,,,
Type: Event,Upheavel in the streets!,,,,,,,All courtiers must immediately reveal two Cups and swap the lids between them in full view of all courtiers.,,,,,,,
Type: Persistent,Famine!,Place this card in the center of the table with a counter on it.,-1,,,,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Persistent,Renaissance!,Place this card in the center of the table with a counter on it.,,-1,,,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Persistent,War!,Place this card in the center of the table with a counter on it.,,,-1,,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Persistent,Depression!,Place this card in the center of the table with a counter on it.,,,,-1,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Persistent,Festival!,Place this card in the center of the table with a counter on it.,1,,,,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Persistent,Revival!,Place this card in the center of the table with a counter on it.,,1,,,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Persistent,Parade of Honor!,Place this card in the center of the table with a counter on it.,,,1,,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Persistent,Boom!,Place this card in the center of the table with a counter on it.,,,,1,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Secret,King's Pardon,"If you wrongly accuse another courtier, you may avoid revealing your Cups. Discard.",,,,,,,,,,,,,
Type: Secret,Sleight of Hand,"During your Deals Phase, you may steal a Secret Card from another courtier. Discard.",,,,,,,,,,,,,
Type: Secret,Secret Stash,"At any time, you may exchange this card for the effect. Discard.",,,,,5,,,,,,,,
Type: Secret,Tax Burden,"During any Event Phase, you may double the Gold all courtiers must pay out due to the Event. (Does not apply to Gold that player collects.) Discard.",,,,,,,,,,,,,
Type: Secret,Populist ,"You may reveal a Cup and in full view of all courtiers, transfer up to 10 Clout from that Cup to your Plebs Cup. Discard.",,,,,,,,,,,,,
Type: Secret,Strategist,"You may reveal a Cup and in full view of all courtiers, transfer up to 10 Clout from that Cup to your Generals Cup. Discard.",,,,,,,,,,,,,
Type: Secret,Economist,"You may reveal a Cup and in full view of all courtiers, transfer up to 10 Clout from that Cup to your Banks Cup. Discard.",,,,,,,,,,,,,
Type: Secret,Theist,"You may reveal a Cup and in full view of all courtiers, transfer up to 10 Clout from that Cup to your Clergy Cup. Discard.",,,,,,,,,,,,,
Type: Secret,I Know You Are But What Am I...?,"When accused you may play this card. The King ignores the accusation.  Instead, the Prosecutor is immediately accused by the King. Discard.",,,,,,,,,,,,,
Type: Secret,Lookey Loo,You (and only you) may see the Cups and Gold of a chosen courtier. Discard.,,,,,,,,,,,,,
Type: Secret,Surprise Muthaaaa!,"When this card transfers ownership for any reason after first purchase, the recipient is immediately accused by the King. Discard.",,,,,,,,,,,,,
Type: Event,"King's Little Brother: I WANT A RED RIDER BB GUN FOR FESTIVAL! 
AND I WANT IT NOW!",You'll shoot your eye out!,,1,,,,,What's the harm?,,,1,,,
Type: Persistent,The Inquisition sweeps the land!,Place this card in the center of the table with a counter on it.,-2,2,,,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",,,,,,,
Type: Event,Treasurer: I believe the banks are intentionally inflating interest rates to weaken the king.,"That's non-sense, bankers don't do things like that!",,,,2,1,,"I believe you, I'll have soldiers collect some extra taxes from them.",,,1,-4,,
Type: Event,"King's Mistress: I need a new pair of shoes. If you fund my wardrobe, I can sway them in your favor...",Tell the Banks they can trust me.,,,,3,-1,,Nah...,-1,,-1,-1,,
Type: Event,King's Mistress: Do you love me?,"You know I do, baby.",,,,,-3,,"I don't know you, woman.",-5,3,-1,-1,,
Type: Event,"King's Mistress: I have uncovered a juicy secret.  I'm willing to share it... for a price, of course.",Nope. Not interested.,-1,,,,,,Whisper your sweet nothings in my ear.,,,,,-2,Acquire the top card from the Secrets Deck.
Type: Event,"King's Mistress: I am pregnant. I'm sure you are the father... 
(If the Courtier is female, shuffle back into the Event Deck and draw a new Event.)",Nobody can know...,,,,,-5,,You can't prove it!,-3,-2,,,,
Type: Event,King's Mistress: The people love me and they could love you too.,The Plebs don't interest me.,-2,2,,,,,"I love the Plebs, they should know it.",4,,,,-2,
Type: Inventory,"King's Mistress: This is a token of my affection.  If you are ever in trouble with the people, this will protect you. But only once.
(King's Mistress Token)",Thank you.,,,,,-3,"If you are accused and your Plebs Cup is empty, you may immediately reset it to 10 Clout. Discard. (Place in front of you until use.)","I don't need any favors from you, woman.",-1,1,,,,
Type: Persistent,Treasurer: The King has awarded you a stipend for you honorable advice. *mumbles* The idiot...,It's about time!,-1,,,1,1,"For 6 turns, you gain the effect of this card BEFORE your Event Phase. (Place this in front of you with a counter on it.)",I cannot accept such a grand gift...,,,,-1,,
Type: Event,Treasurer: Local miners have discovered a new gold mine!,"No one else need know, right?",,,,,5,,We should invest it for the King!,-1,,,3,,
Type: Event,Treasurer: New wares are showing up on ships from distant lands and undercutting our own merchants... the King must act!,"The people deserve the best deals, my King.",1,,,-2,,,"King, impose a tariff and that should fix it.",-2,,,1,,
Type: Event,"Treasurer: The Kingdom is nearly backrupt, we can't default on our debts.  New taxes are needed!",We can find another way.,1,,,-4,,,"Death and taxes, as they say.",-4,,,1,,
Type: Inventory,Treasurer: Here is a bank note to cover your debts with the Banks if you ever need it.  Thanks for your help managing the King. ,This will come in handy.,,,,,,"If you are accused and your Banks Cup is empty, you may immediately reset it to 10 Clout. Discard. (Place in front of you until use.)",I'd rather some Gold up front.,,,,,3,
Type: Event,"Treasurer: King, it's a run on the Banks.  We must bail them out!",He's right... we can't risk our investments.,-5,,,5,,,Nothing is too big to fail.,5,,,-5,,
Type: Event,Treasurer: The King should press more coins to stimulate the economy.,I'm sure the people would agree.,3,,,-3,,,"Inflation is bad m'kay?! (Except in the King's ego, that is.)",-3,,,3,,
Type: Persistent,Treasurer: The Clergy are demanding the crown finance their silly Crusade.,I love a good Crusade!,,1,-1,-1,,"For 6 turns, ALL courtiers are affected by this card before EACH Event Phase.",Oh my... we can't allow it!,,-5,2,2,,
Type: Event,King's Little Brother: Hello Sir. Will you buy me a new sword?,"Get outta here, kid. Ya bother me.",,,-1,,,,"Sure, why not.",,,1,,-1,
Type: Event,King's Little Brother: General Lee says we are going to war! You tell my bruv to let me fight the bad men!,"Six year olds can not fight battles, your little Highness.",,,1,,,,"I shall speak with your brother, the King on your behalf, young knight.",,,-1,,,
Type: Event,King's Little Brother: I told my brother that his court is buying a gift for his birthday! He's very much looking forward to it... *hehehehe*,Why you little...,,,,,,Choose an amount of Gold (up to 5) that every courtier must contribute toward the gift.,We're not playing your little game.,,,,,,"If no gift (0 Gold) is chosen, ALL courtiers are immediately accused by the King. Everyone must reveal all Cups."
Type: Event,King's Little Brother: My brother thinks the Generals are stealing funds from to plot against him...,"Our Generals are noble servants of the crown, little Highness.",,,3,-3,,,The King is very wise.,,,-3,3,,
Type: Event,You are the people's voice and they wish to support your work.,The people adore me... see?,,,,,8,"Reveal your Plebs Cup to all courtiers. If more than 10 Clout, collect the Gold as tribute from the populus.",I couldn't take from the mouths I care so much for...,3,,,,,
Type: Event,The Veterans of Holy Wars wants to erect a shrine honoring your contributions to the army.,I could never refuse such an honor.,,6,,,,"Reveal your Generals Cup to all courtiers. If more than 10 Clout, gain the respect of the Clergy.",I dare not be named hero by my own heroes...,,,2,,,
Type: Event,The Bankers Guild nominates you economic catalyst of the year and desires to reward you with honorary membership and a small gift.,I accept on behalf of King and kingdom...,,,,,5,"Reveal your Banks Cup to all courtiers. If more than 10 Clout, collect the Gold honorarium.",I only sought to learn from the best...,,,,1,,
Type: Event,The Clergy desire to make you a living Saint.,God. Church. Kingdom. Amirite?!,5,,,,,"Reveal your Clergy Cup to all courtiers. If more than 10 Clout, gain the worship of the people.",I'm not worthy...,,2,,,,
Type: Event,An outbreak of cholera spreads through the population! Advise the King to...,"Turn to the church, that God may heal!",-1,4,,,,,Fund medical efforts with an emergency tax on the wealthy!,4,,,-1,,
Type: Event,"King: I am in a gambling mood... who will gamble with me?!
(Any courtier may participate and may wager any amount of their Gold.)","If at least one courtier plays...
",,,,,,"Roll 2D6 for the King. All courtiers roll against the King's roll.  If a courtier wins, they may go double or nothing. (Ties go to the King... he's the King after all!)",If no courtiers play...,,,,,-2,ALL courtiers must pay Gold to the King for spoiling his fun.
Type: Event,"King: *drunk* I know one of them is out to get me... who is it?!
WHO IS IT?!",,,,,,,"Identify another courtier, who is immediately accused by the King.",,,,,,,
Type: Secret,It wasn't me!,"When accused by the King, you can redirect the accusation to a chosen courtier. Discard.",,,,,,,,,,,,,
Type: Event,King: Let's have a feast! Should we invite commoners or the aristocracy?,"The people, my Lord.",4,-2,-2,-2,,,"Only the elite appreciate your splendor, my Lord.",-6,2,2,2,,
Type: Event,"King: *drunk, sobbing, mumbling* she...she loves me not... who has stolen her affections? who?  WHO?!",,,,,,,"If any courtier has the ""King's Mistress Token"" the King executes them!",,,,,,,
